id,nama_bahan_baku,stok,unit,user_id,created_at
ef012345-6789-4abc-8f01-234567890123,EXCOVIA SWEET,135,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:10:00+00
f0123456-789a-4bcd-8012-345678901234,EXCOVIA WOMAN,125,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:15:00+00
01234567-89ab-4cde-8123-456789abcde0,FANTASTIC LADYS,185,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:20:00+00
12345678-9abc-4def-8234-56789abcde01,FLORENTIC GIRL,195,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:25:00+00
23456789-abcd-4ef0-8345-6789abcde012,FLORENTIC ROSE,115,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:30:00+00
3456789a-bcde-4f01-8456-789abcde0123,FLORENTIC BALE,105,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:35:00+00
456789ab-cdef-4012-8567-89abcde01234,FLORENTIC BLUE,225,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:40:00+00
56789abc-def0-4123-8678-9abcde012345,FLORENTIC WOMAN,215,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:45:00+00
6789abcd-ef01-4234-8789-abcde0123456,FLORENTIC YOUNG,205,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:50:00+00
789abcde-f012-4345-889a-bcde01234567,GANTARI BLUE,235,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:55:00+00
89abcdef-0123-4456-89ab-cde012345678,GANTARI GOLD,245,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:00:00+00
9abcdef0-1234-4567-8abc-de0123456789,GANTARI WOMAN,255,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:05:00+00
abcdef01-2345-4678-8bcd-e01234567890,GANTARI YOUNG,265,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:10:00+00
bcdef012-3456-4789-8cde-012345678901,GANTARI SWEET,275,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:15:00+00
cdef0123-4567-489a-8def-123456789012,GANTARI FRESH,285,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:20:00+00
def01234-5678-49ab-8ef0-234567890123,GANTARI COOL,295,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:25:00+00
ef012345-6789-4abc-8f01-345678901234,GANTARI MINT,305,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:30:00+00
f0123456-789a-4bcd-8012-456789012345,GANTARI OCEAN,315,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:35:00+00
01234567-89ab-4cde-8123-567890123456,GANTARI BREEZE,325,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:40:00+00
12345678-9abc-4def-8234-678901234567,GANTARI STORM,335,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:45:00+00
23456789-abcd-4ef0-8345-789012345678,GANTARI THUNDER,345,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:50:00+00
3456789a-bcde-4f01-8456-890123456789,GANTARI LIGHTNING,355,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 12:55:00+00
456789ab-cdef-4012-8567-901234567890,GANTARI RAIN,365,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:00:00+00
56789abc-def0-4123-8678-012345678901,GANTARI SNOW,375,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:05:00+00
6789abcd-ef01-4234-8789-123456789012,GANTARI ICE,385,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:10:00+00
789abcde-f012-4345-889a-234567890123,GANTARI FIRE,395,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:15:00+00
89abcdef-0123-4456-89ab-345678901234,GANTARI EARTH,405,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:20:00+00
9abcdef0-1234-4567-8abc-456789012345,GANTARI WIND,415,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:25:00+00
abcdef01-2345-4678-8bcd-567890123456,GANTARI WATER,425,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:30:00+00
bcdef012-3456-4789-8cde-678901234567,GANTARI NATURE,435,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:35:00+00
cdef0123-4567-489a-8def-789012345678,GANTARI FOREST,445,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:40:00+00
def01234-5678-49ab-8ef0-890123456789,GANTARI MOUNTAIN,455,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:45:00+00
ef012345-6789-4abc-8f01-901234567890,GANTARI VALLEY,465,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:50:00+00
f0123456-789a-4bcd-8012-012345678901,GANTARI DESERT,475,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 13:55:00+00
01234567-89ab-4cde-8123-123456789012,GANTARI OASIS,485,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:00:00+00
12345678-9abc-4def-8234-234567890123,GANTARI MIRAGE,495,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:05:00+00
23456789-abcd-4ef0-8345-345678901234,GANTARI HORIZON,505,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:10:00+00
3456789a-bcde-4f01-8456-456789012345,GANTARI SUNSET,515,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:15:00+00
456789ab-cdef-4012-8567-567890123456,GANTARI SUNRISE,525,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:20:00+00
56789abc-def0-4123-8678-678901234567,GANTARI DAWN,535,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:25:00+00
6789abcd-ef01-4234-8789-789012345678,GANTARI DUSK,545,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:30:00+00
789abcde-f012-4345-889a-890123456789,GANTARI TWILIGHT,555,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:35:00+00
89abcdef-0123-4456-89ab-901234567890,GANTARI MIDNIGHT,565,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:40:00+00
9abcdef0-1234-4567-8abc-012345678901,GANTARI STARLIGHT,575,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:45:00+00
abcdef01-2345-4678-8bcd-123456789012,GANTARI MOONLIGHT,585,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:50:00+00
bcdef012-3456-4789-8cde-234567890123,GANTARI SUNLIGHT,595,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 14:55:00+00
cdef0123-4567-489a-8def-345678901234,GANTARI DAYLIGHT,605,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:00:00+00
def01234-5678-49ab-8ef0-456789012345,GANTARI BRIGHT,615,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:05:00+00
ef012345-6789-4abc-8f01-567890123456,GANTARI SHINE,625,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:10:00+00
f0123456-789a-4bcd-8012-678901234567,GANTARI GLOW,635,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:15:00+00
01234567-89ab-4cde-8123-789012345678,GANTARI RADIANCE,645,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:20:00+00
12345678-9abc-4def-8234-890123456789,GANTARI BRILLIANCE,655,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:25:00+00
23456789-abcd-4ef0-8345-901234567890,GANTARI SPARKLE,665,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:30:00+00
3456789a-bcde-4f01-8456-012345678901,GANTARI SHIMMER,675,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:35:00+00
456789ab-cdef-4012-8567-123456789012,GANTARI GLITTER,685,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:40:00+00
56789abc-def0-4123-8678-234567890123,GANTARI CRYSTAL,695,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:45:00+00
6789abcd-ef01-4234-8789-345678901234,GANTARI DIAMOND,705,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:50:00+00
789abcde-f012-4345-889a-456789012345,GANTARI PEARL,715,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 15:55:00+00
89abcdef-0123-4456-89ab-567890123456,GANTARI RUBY,725,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:00:00+00
9abcdef0-1234-4567-8abc-678901234567,GANTARI EMERALD,735,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:05:00+00
abcdef01-2345-4678-8bcd-789012345678,GANTARI SAPPHIRE,745,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:10:00+00
bcdef012-3456-4789-8cde-890123456789,GANTARI TOPAZ,755,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:15:00+00
cdef0123-4567-489a-8def-901234567890,GANTARI AMETHYST,765,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:20:00+00
def01234-5678-49ab-8ef0-012345678901,GANTARI OPAL,775,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:25:00+00
ef012345-6789-4abc-8f01-123456789012,GANTARI JADE,785,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:30:00+00
f0123456-789a-4bcd-8012-234567890123,GANTARI TURQUOISE,795,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:35:00+00
01234567-89ab-4cde-8123-345678901234,GANTARI CORAL,805,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:40:00+00
12345678-9abc-4def-8234-456789012345,GANTARI AMBER,815,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:45:00+00
23456789-abcd-4ef0-8345-567890123456,GANTARI ONYX,825,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:50:00+00
3456789a-bcde-4f01-8456-678901234567,GANTARI QUARTZ,835,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 16:55:00+00
